20	  3  3  3  2  3  3  3	\D-	n\D-yf
1	  1  0  0  0  0  0  0	\D-	w\D-y\?g
3	  3  0  0  0  0  0  0	\D-	w\D-yf
22	  3  3  2  3  3  3  5	\D-	w\D-yfh
9	  1  1  1  1  2  1  2	\dh	\dhal
1	  1  0  0  0  0  0  0	\tf	\tfa\?g
14	  3  3  2  3  0  2  1	d	S\9eyd
1	  0  1  0  0  0  0  0	d	Sad
21	  3  1  3  4  3  3  4	d	Sdf
41	  8  6  6  4  6  6  5	d	Sdyd
2	  2  0  0  0  0  0  0	d	as\9ed
7	  1  1  1  1  1  1  1	d	dal
1	  1  0  0  0  0  0  0	d	mS\9ed
8	  3  1  1  0  0  1  2	d	msa\9edh
13	  3  1  2  2  0  3  2	d	s\9eyd
3	  3  0  0  0  0  0  0	d	sdf
42	  8  6  6  6  6  6  4	d	sdyd
6	  3  0  0  0  0  2  1	s	as\9ed
3	  3  0  0  0  0  0  0	s	awtwbys
20	  3  3  3  2  3  3  3	s	bsaTh
21	  3  3  3  3  3  3  3	s	jrs
2	  2  0  0  0  0  0  0	s	m\9eslh
20	  3  3  3  2  3  3  3	s	mlabs
12	  3  1  1  1  0  3  3	s	msTrh
17	  3  3  3  2  0  3  3	s	msa\9edh
19	  2  3  3  3  3  2  3	s	sTam
17	  3  2  3  3  2  2  2	s	sTwr
17	  3  3  3  3  0  3  2	s	s\9eyd
16	  3  3  3  2  0  3  2	s	sbHh
2	  2  0  0  0  0  0  0	s	sdf
21	  3  3  3  3  3  3  3	s	sdyd
17	  0  3  3  2  3  3  3	s	skwt
21	  3  3  4  2  3  3  3	s	slTh
3	  3  0  0  0  0  0  0	s	smwT
3	  3  0  0  0  0  0  0	s	smwt
3	  3  0  0  0  0  0  0	s	stwr
21	  3  3  3  3  3  3  3	s	syf
7	  1  1  1  1  1  1  1	s	syn
13	  0  3  0  2  3  3  2	s	wasTh
5	  1  1  1  0  0  1  1	s	wsTh
6	  2  1  0  0  0  2  1	s	wsTy
20	  3  3  3  2  3  3  3	s	wsyTh
20	  2  3  3  3  3  3  3	t	Samt
19	  3  3  3  1  3  3  3	t	Smt
3	  3  0  0  0  0  0  0	t	Smwt
18	  3  1  3  2  3  3  3	t	antSar
17	  3  1  2  2  3  3  3	t	ant\D-am
10	  3  2  0  0  0  3  2	t	at\9eab
3	  3  0  0  0  0  0  0	t	awtwbys
17	  0  3  3  2  3  3  3	t	ftwr
20	  3  3  3  2  3  3  3	t	ktab
7	  2  0  1  0  0  2  2	t	mt\9eb
17	  0  3  3  3  2  3  3	t	mtwDy\?g
19	  3  3  3  1  3  3  3	t	mtwaSl
