naif1+Sad+465.802+S	7202	2770	1.164	0.915	5734	2198	1.050	3.927 23.50	536.67	22.00	999.33	-38.00	2653.33	-38.20	529.50	79.50	1161.75	-21.10	2553.75	29.00	444.00	31.50	1336.67	-17.50	2513.00
naif1+Samt+279.884+S	6642	2450	2.091	5.188	4792	2588	-0.102	1.834 29.00	550.67	17.00	1118.33	-77.50	2599.00	-43.50	530.75	36.50	1176.75	-35.00	2436.00	30.00	441.33	-61.50	1264.00	25.50	2409.00
naif1+Samt+374.457+S	7541	2253	1.631	3.477	6224	2414	-0.328	2.944 38.50	545.67	9.50	1085.00	-128.50	2502.33	-48.60	520.00	28.00	1164.50	-45.50	2372.25	25.50	420.67	-77.50	1224.67	-24.50	2280.33
naif2+anfSal+183.218+S	7916	2771	1.161	0.959	5746	3028	-0.025	1.004 57.50	545.33	39.00	1008.67	-21.50	2633.67	-26.70	589.75	36.40	1141.50	-18.30	2542.25	45.00	518.00	12.00	1214.67	-2.00	2509.00
naif2+anfSal+274.449+S	7826	2428	1.317	2.039	5503	3205	-0.275	0.127 59.50	527.67	47.00	1032.33	19.00	2603.00	-29.30	563.25	50.00	1192.00	-26.40	2487.50	29.50	499.00	18.50	1288.67	-12.00	2470.00
naif2+anfSal+37.189+S	8174	2834	0.783	0.132	5579	3296	0.030	0.193 58.50	538.67	55.50	1078.33	-0.50	2629.00	-37.30	550.25	38.60	1201.50	-9.00	2517.00	45.00	464.33	6.00	1285.67	-13.00	2515.00
naif2+antSar+205.654+S	9204	2951	0.578	-0.425	6891	3433	-0.110	0.467 27.50	557.67	6.00	1098.67	-31.50	2696.33	2.50	598.25	17.50	1115.25	-10.20	2612.00	-2.00	601.33	-32.50	1147.67	30.00	2598.00
naif2+antSar+29.022+S	7582	2808	1.269	1.509	5161	3060	0.080	0.764 59.00	532.00	64.00	1060.67	-30.50	2692.00	-8.40	579.00	14.30	1124.25	4.80	2641.50	0.50	558.00	-38.00	1146.00	-27.50	2668.33
naif2+antSar+335.902+S	8126	2635	1.125	0.809	4871	3642	0.034	-0.598 42.00	560.00	5.50	1100.33	-21.50	2553.33	-0.70	595.25	36.50	1152.75	14.90	2512.75	-2.00	595.67	-50.00	1221.00	-66.50	2541.00
naif2+Sad+389.831+S	9137	3205	0.533	-0.640	6794	3322	0.216	0.725 27.00	539.00	45.00	955.33	-41.00	2651.00	-33.60	527.00	68.10	1142.25	-22.90	2543.25	1.50	440.00	64.50	1314.33	2.00	2489.33
naif2+Samt+112.657+S	7293	3408	1.307	0.913	5132	2610	1.016	4.175 61.50	578.00	32.00	1002.00	86.00	2692.33	-54.10	560.75	63.50	1108.75	-83.60	2572.50	9.50	433.67	-74.00	1250.67	21.00	2390.67
naif2+Samt+233.347+S	8083	2683	0.875	0.886	6292	2756	0.115	1.365 43.50	576.67	13.50	985.00	-7.00	2853.67	-56.70	518.25	84.20	1116.50	-109.10	2547.75	14.50	404.67	-63.50	1287.00	16.00	2333.33
naif2+Samt+314.230+S	7232	2150	1.597	3.942	5661	2599	-0.482	1.569 45.50	543.67	30.50	1003.67	45.00	2837.00	-49.00	487.50	46.60	1130.00	-126.10	2672.25	18.50	402.67	-55.00	1240.67	-71.50	2396.00
saud+anfSal+234.627+S	7529	2478	0.926	1.977	5840	2570	0.075	1.438 58.50	604.00	52.00	1084.67	31.50	2690.67	-2.60	675.00	44.30	1189.75	-43.50	2673.25	8.00	661.67	-48.00	1317.33	-12.50	2589.33
saud+anfSal+353.323+S	6899	2460	1.082	1.801	5539	2092	0.782	3.009 61.50	534.00	16.50	1167.00	16.00	2701.33	15.10	664.75	10.20	1204.50	-22.40	2700.50	-5.00	676.00	-14.50	1214.67	-19.50	2689.33
saud+anfSal+38.327+S	7121	2374	1.326	3.112	5863	2114	0.534	3.371 27.00	616.00	21.50	1112.00	-7.00	2775.33	-40.40	619.50	100.60	1391.50	13.10	2730.75	46.00	501.67	21.50	1572.00	-29.00	2757.67
saud+antSar+26.967+S	6256	2312	2.226	5.826	5364	1609	1.690	11.538 31.00	591.33	-5.00	1140.67	21.00	2787.00	-3.70	626.25	4.20	1139.50	-15.70	2741.25	-12.50	613.33	-79.50	1247.00	-35.00	2736.67
saud+antSar+265.702+S	5481	2078	2.281	5.764	4769	1264	2.994	16.916 63.50	594.33	17.50	1143.33	28.00	2524.67	3.50	672.25	3.70	1185.25	-20.60	2518.50	5.00	676.67	-1.50	1193.67	19.50	2496.00
saud+antSar+422.756+S	7117	2743	1.062	1.158	5532	2260	0.903	3.138 68.00	537.33	-10.50	1213.33	11.50	2618.67	3.20	650.00	1.40	1202.00	-33.00	2585.50	0.00	637.67	-4.50	1200.33	18.50	2528.00
saud+Sad+484.005+S	5959	1983	2.940	16.939	4183	2395	-0.163	1.022 20.50	521.00	-44.00	949.00	-13.50	2676.00	-3.00	543.00	57.90	1019.25	-34.90	2598.25	18.50	526.33	-89.50	1153.00	-4.00	2552.00
saud+Samt+129.970+S	8954	2522	0.279	0.727	3946	4185	0.486	-1.098 46.00	594.67	22.00	1079.67	40.50	2836.33	-64.50	590.25	18.40	1169.50	-65.10	2523.25	60.50	435.00	-44.00	1223.67	-53.00	2462.00
saud+Samt+300.736+S	6730	2753	1.451	2.721	4211	2808	0.275	1.002 53.00	634.00	22.00	1131.00	-12.50	2629.33	-30.30	660.75	32.60	1206.00	-20.10	2388.75	51.50	553.33	-49.00	1295.67	-38.00	2425.33
saud+Samt+399.320+S	8474	2847	0.737	1.352	2984	3771	0.933	-0.157 38.00	617.33	18.00	1160.67	129.00	2465.67	-17.10	666.25	22.80	1248.00	-70.10	2378.75	31.50	615.00	-25.00	1297.00	-57.50	2306.33
