
By speaker
t:  1.685, p:  0.104, dt: 27/11/2010-11:40:26, F2: alohali - zhwr - uu plain, N1 = 15, N2 = 12
t: -0.329, p:  0.745, dt: 27/11/2010-11:40:26, F3: alohali - ftwr - uu plain, N1 = 15, N2 = 12
t: -0.846, p:  0.403, dt: 27/11/2010-11:40:26, F3: alohali - hw - uu plain, N1 = 15, N2 = 24
t:  0.644, p:  0.525, dt: 27/11/2010-11:40:26, F3: alohali - skwt - uu plain, N1 = 15, N2 = 12
t:  0.780, p:  0.443, dt: 27/11/2010-11:40:26, F3: alohali - tlyfwn - uu plain, N1 = 15, N2 = 12
t: -2.383, p:  0.025, dt: 27/11/2010-11:40:26, F3: alohali - zhwr - uu plain, N1 = 15, N2 = 12
t:  0.350, p:  0.730, dt: 27/11/2010-11:40:26, F1: alotaiq - alan - aa plain, N1 = 12, N2 = 12
t: -0.710, p:  0.485, dt: 27/11/2010-11:40:26, F1: alotaiq - ktab - aa plain, N1 = 12, N2 = 12
t:  1.675, p:  0.108, dt: 27/11/2010-11:40:26, F1: alotaiq - mlabs - aa plain, N1 = 12, N2 = 12
t: -1.387, p:  0.179, dt: 27/11/2010-11:40:26, F1: alotaiq - ratb - aa plain, N1 = 12, N2 = 12
t: -3.190, p:  0.004, dt: 27/11/2010-11:40:26, F2: alotaiq - alan - aa plain, N1 = 12, N2 = 12
t:  2.391, p:  0.026, dt: 27/11/2010-11:40:26, F2: alotaiq - ktab - aa plain, N1 = 12, N2 = 12
t:  0.215, p:  0.832, dt: 27/11/2010-11:40:26, F2: alotaiq - mlabs - aa plain, N1 = 12, N2 = 12
t:  1.311, p:  0.203, dt: 27/11/2010-11:40:26, F2: alotaiq - ratb - aa plain, N1 = 12, N2 = 12
t: -0.261, p:  0.797, dt: 27/11/2010-11:40:26, F3: alotaiq - alan - aa plain, N1 = 12, N2 = 12
t:  3.381, p:  0.003, dt: 27/11/2010-11:40:26, F3: alotaiq - ktab - aa plain, N1 = 12, N2 = 12
t:  1.337, p:  0.195, dt: 27/11/2010-11:40:27, F3: alotaiq - mlabs - aa plain, N1 = 12, N2 = 12
t: -4.209, p:  0.000, dt: 27/11/2010-11:40:27, F3: alotaiq - ratb - aa plain, N1 = 12, N2 = 12
t:  2.129, p:  0.043, dt: 27/11/2010-11:40:27, F1: alotaiq - hy - ii plain, N1 = 13, N2 = 16
t: -4.055, p:  0.000, dt: 27/11/2010-11:40:27, F1: alotaiq - jzyrh - ii plain, N1 = 13, N2 = 12
t:  2.304, p:  0.031, dt: 27/11/2010-11:40:27, F1: alotaiq - sdyd - ii plain, N1 = 13, N2 = 12
t: -1.171, p:  0.254, dt: 27/11/2010-11:40:27, F1: alotaiq - tlyfwn - ii plain, N1 = 13, N2 = 12
t: -3.996, p:  0.000, dt: 27/11/2010-11:40:27, F2: alotaiq - hy - ii plain, N1 = 13, N2 = 16
t:  4.086, p:  0.000, dt: 27/11/2010-11:40:27, F2: alotaiq - jzyrh - ii plain, N1 = 13, N2 = 12
t: -1.583, p:  0.127, dt: 27/11/2010-11:40:27, F2: alotaiq - sdyd - ii plain, N1 = 13, N2 = 12
t:  1.913, p:  0.068, dt: 27/11/2010-11:40:27, F2: alotaiq - tlyfwn - ii plain, N1 = 13, N2 = 12
t: -2.967, p:  0.006, dt: 27/11/2010-11:40:27, F3: alotaiq - hy - ii plain, N1 = 13, N2 = 16
t:  3.181, p:  0.004, dt: 27/11/2010-11:40:27, F3: alotaiq - jzyrh - ii plain, N1 = 13, N2 = 12
t: -2.227, p:  0.036, dt: 27/11/2010-11:40:27, F3: alotaiq - sdyd - ii plain, N1 = 13, N2 = 12
t:  2.790, p:  0.010, dt: 27/11/2010-11:40:27, F3: alotaiq - tlyfwn - ii plain, N1 = 13, N2 = 12
t:  0.044, p:  0.965, dt: 27/11/2010-11:40:27, F1: alotaiq - ftwr - uu plain, N1 = 15, N2 = 12
t:  1.321, p:  0.195, dt: 27/11/2010-11:40:27, F1: alotaiq - hw - uu plain, N1 = 15, N2 = 24
t:  2.642, p:  0.014, dt: 27/11/2010-11:40:27, F1: alotaiq - skwt - uu plain, N1 = 15, N2 = 12
t: -3.817, p:  0.001, dt: 27/11/2010-11:40:27, F1: alotaiq - tlyfwn - uu plain, N1 = 15, N2 = 12
t: -0.486, p:  0.631, dt: 27/11/2010-11:40:27, F1: alotaiq - zhwr - uu plain, N1 = 15, N2 = 12
t:  0.776, p:  0.445, dt: 27/11/2010-11:40:27, F2: alotaiq - ftwr - uu plain, N1 = 15, N2 = 12
t:  2.888, p:  0.006, dt: 27/11/2010-11:40:27, F2: alotaiq - hw - uu plain, N1 = 15, N2 = 24
t: -2.204, p:  0.037, dt: 27/11/2010-11:40:27, F2: alotaiq - skwt - uu plain, N1 = 15, N2 = 12
t: -2.570, p:  0.017, dt: 27/11/2010-11:40:27, F2: alotaiq - tlyfwn - uu plain, N1 = 15, N2 = 12
t:  1.945, p:  0.063, dt: 27/11/2010-11:40:27, F2: alotaiq - zhwr - uu plain, N1 = 15, N2 = 12
t: -1.957, p:  0.062, dt: 27/11/2010-11:40:27, F3: alotaiq - ftwr - uu plain, N1 = 15, N2 = 12
t: -0.643, p:  0.524, dt: 27/11/2010-11:40:27, F3: alotaiq - hw - uu plain, N1 = 15, N2 = 24
t:  4.145, p:  0.000, dt: 27/11/2010-11:40:27, F3: alotaiq - skwt - uu plain, N1 = 15, N2 = 12
t: -0.964, p:  0.344, dt: 27/11/2010-11:40:27, F3: alotaiq - tlyfwn - uu plain, N1 = 15, N2 = 12
t: -3.797, p:  0.001, dt: 27/11/2010-11:40:27, F3: alotaiq - zhwr - uu plain, N1 = 15, N2 = 12
t:  0.576, p:  0.574, dt: 27/11/2010-11:40:27, F1: mohammed - alan - aa plain, N1 = 7, N2 = 8
t:  0.710, p:  0.490, dt: 27/11/2010-11:40:27, F1: mohammed - ktab - aa plain, N1 = 7, N2 = 8
t: -0.912, p:  0.379, dt: 27/11/2010-11:40:27, F1: mohammed - mlabs - aa plain, N1 = 7, N2 = 8
t: -1.272, p:  0.235, dt: 27/11/2010-11:40:27, F1: mohammed - ratb - aa plain, N1 = 7, N2 = 4
t: -2.860, p:  0.013, dt: 27/11/2010-11:40:27, F2: mohammed - alan - aa plain, N1 = 7, N2 = 8
t:  2.251, p:  0.042, dt: 27/11/2010-11:40:27, F2: mohammed - ktab - aa plain, N1 = 7, N2 = 8
t: -0.158, p:  0.877, dt: 27/11/2010-11:40:27, F2: mohammed - mlabs - aa plain, N1 = 7, N2 = 8
t:  0.962, p:  0.361, dt: 27/11/2010-11:40:28, F2: mohammed - ratb - aa plain, N1 = 7, N2 = 4
t:  2.358, p:  0.035, dt: 27/11/2010-11:40:28, F3: mohammed - alan - aa plain, N1 = 7, N2 = 8
t: -0.915, p:  0.377, dt: 27/11/2010-11:40:28, F3: mohammed - ktab - aa plain, N1 = 7, N2 = 8
t: -1.791, p:  0.097, dt: 27/11/2010-11:40:28, F3: mohammed - mlabs - aa plain, N1 = 7, N2 = 8
t: -0.847, p:  0.419, dt: 27/11/2010-11:40:28, F3: mohammed - ratb - aa plain, N1 = 7, N2 = 4
